Customer Feedback Text,Time of the Given Feedback,Age of the Customer,Platform Used,Customer Gender
Love the new features!,2024-09-27 16:59:38.262447,30,In-Store,Other
"The service was slow, not happy.",2024-09-25 16:59:38.262449,52,Mobile App,Female
"The service was slow, not happy.",2024-09-26 16:59:38.262450,34,Mobile App,Male
"Poor packaging, item arrived damaged.",2024-10-07 16:59:38.262452,45,In-Store,Male
"Fast shipping, product as described.",2024-10-06 16:59:38.262453,58,Email,Female
Excellent quality and quick delivery!,2024-10-07 16:59:38.262455,54,Social Media,Other
"Fast shipping, product as described.",2024-09-23 16:59:38.262457,18,In-Store,Female
"Amazing experience, will buy again!",2024-10-02 16:59:38.262459,18,Mobile App,Male
Excellent quality and quick delivery!,2024-10-02 16:59:38.262460,39,Email,Female
Not worth the money.,2024-09-21 16:59:38.262462,57,Social Media,Male
Love the new features!,2024-10-08 16:59:38.262464,34,Email,Male
Excellent quality and quick delivery!,2024-09-26 16:59:38.262465,68,Social Media,Female
"Great product, very satisfied!",2024-09-25 16:59:38.262467,45,Social Media,Male
"Fast shipping, product as described.",2024-09-21 16:59:38.262468,20,Social Media,Male
"Great product, very satisfied!",2024-09-30 16:59:38.262470,50,Website,Male
"Great product, very satisfied!",2024-09-25 16:59:38.262472,66,Mobile App,Female
"Fast shipping, product as described.",2024-09-19 16:59:38.262473,19,In-Store,Female
"Fast shipping, product as described.",2024-10-09 16:59:38.262475,27,Website,Male
"Poor packaging, item arrived damaged.",2024-09-19 16:59:38.262476,20,Website,Male
"Amazing experience, will buy again!",2024-09-20 16:59:38.262478,43,In-Store,Female
Excellent quality and quick delivery!,2024-09-18 16:59:38.262480,68,Website,Female
"Terrible support, very disappointed.",2024-10-05 16:59:38.262482,60,Email,Other
Customer service was helpful.,2024-09-29 16:59:38.262485,54,Social Media,Other
Excellent quality and quick delivery!,2024-09-17 16:59:38.262488,28,Social Media,Female
"Terrible support, very disappointed.",2024-10-10 16:59:38.262491,30,In-Store,Other
"Amazing experience, will buy again!",2024-10-03 16:59:38.262493,41,Website,Other
"Amazing experience, will buy again!",2024-09-29 16:59:38.262496,68,Social Media,Female
Love the new features!,2024-09-18 16:59:38.262499,36,Social Media,Male
"Fast shipping, product as described.",2024-10-01 16:59:38.262502,32,Email,Female
"Terrible support, very disappointed.",2024-10-03 16:59:38.262516,21,In-Store,Female
"Terrible support, very disappointed.",2024-09-25 16:59:38.262518,69,Email,Other
Excellent quality and quick delivery!,2024-10-11 16:59:38.262519,22,Website,Female
"The service was slow, not happy.",2024-09-24 16:59:38.262521,27,Social Media,Female
"Terrible support, very disappointed.",2024-10-09 16:59:38.262523,43,In-Store,Other
"Poor packaging, item arrived damaged.",2024-10-06 16:59:38.262524,22,Email,Female
"Amazing experience, will buy again!",2024-09-22 16:59:38.262526,64,Website,Female
Customer service was helpful.,2024-09-14 16:59:38.262527,67,Mobile App,Other
Customer service was helpful.,2024-09-19 16:59:38.262529,46,Email,Female
"Terrible support, very disappointed.",2024-10-09 16:59:38.262531,45,Social Media,Female
"Fast shipping, product as described.",2024-09-22 16:59:38.262533,32,In-Store,Male
"Great product, very satisfied!",2024-09-29 16:59:38.262535,22,Email,Male
"Great product, very satisfied!",2024-10-01 16:59:38.262537,50,Website,Male
Excellent quality and quick delivery!,2024-10-11 16:59:38.262538,23,Email,Female
"The service was slow, not happy.",2024-10-03 16:59:38.262540,68,Social Media,Female
"Great product, very satisfied!",2024-09-15 16:59:38.262541,62,Email,Male
"Poor packaging, item arrived damaged.",2024-10-05 16:59:38.262543,70,Mobile App,Female
"Poor packaging, item arrived damaged.",2024-09-26 16:59:38.262545,39,In-Store,Female
"Poor packaging, item arrived damaged.",2024-10-01 16:59:38.262546,39,Mobile App,Other
"Poor packaging, item arrived damaged.",2024-09-28 16:59:38.262548,19,Social Media,Male
"Amazing experience, will buy again!",2024-09-25 16:59:38.262549,56,Mobile App,Male
Customer service was helpful.,2024-09-22 16:59:38.262551,34,Email,Other
Excellent quality and quick delivery!,2024-10-11 16:59:38.262553,41,Email,Male
Customer service was helpful.,2024-09-21 16:59:38.262554,63,In-Store,Male
Not worth the money.,2024-09-14 16:59:38.262556,18,Social Media,Female
"Great product, very satisfied!",2024-09-20 16:59:38.262557,62,Email,Other
"Amazing experience, will buy again!",2024-10-04 16:59:38.262559,55,Email,Other
"Great product, very satisfied!",2024-09-21 16:59:38.262561,18,Social Media,Other
"The service was slow, not happy.",2024-10-01 16:59:38.262562,62,Social Media,Male
"Great product, very satisfied!",2024-09-22 16:59:38.262564,45,In-Store,Female
"The service was slow, not happy.",2024-09-30 16:59:38.262566,32,Social Media,Female
Not worth the money.,2024-09-29 16:59:38.262567,21,Mobile App,Male
"Poor packaging, item arrived damaged.",2024-09-23 16:59:38.262569,35,Website,Other
"Terrible support, very disappointed.",2024-09-22 16:59:38.262571,51,In-Store,Other
"Poor packaging, item arrived damaged.",2024-10-01 16:59:38.262572,36,Email,Other
"Amazing experience, will buy again!",2024-09-17 16:59:38.262574,50,Social Media,Female
"Great product, very satisfied!",2024-09-19 16:59:38.262576,66,Email,Female
"Amazing experience, will buy again!",2024-09-30 16:59:38.262577,48,Mobile App,Male
Excellent quality and quick delivery!,2024-09-22 16:59:38.262579,22,In-Store,Male
Excellent quality and quick delivery!,2024-09-14 16:59:38.262580,57,Email,Other
"Terrible support, very disappointed.",2024-09-13 16:59:38.262582,54,Website,Other
"Terrible support, very disappointed.",2024-10-06 16:59:38.262584,61,Email,Other
Love the new features!,2024-10-01 16:59:38.262585,52,Website,Other
"Great product, very satisfied!",2024-09-26 16:59:38.262587,67,In-Store,Male
Love the new features!,2024-10-12 16:59:38.262588,53,Email,Other
"The service was slow, not happy.",2024-09-25 16:59:38.262590,44,Email,Female
Customer service was helpful.,2024-10-11 16:59:38.262592,37,Social Media,Other
Excellent quality and quick delivery!,2024-09-15 16:59:38.262593,47,Social Media,Other
Customer service was helpful.,2024-09-21 16:59:38.262595,61,Email,Other
Excellent quality and quick delivery!,2024-09-14 16:59:38.262596,32,Social Media,Female
"Great product, very satisfied!",2024-09-27 16:59:38.262598,54,Email,Other
Excellent quality and quick delivery!,2024-10-02 16:59:38.262600,68,Mobile App,Other
Customer service was helpful.,2024-09-26 16:59:38.262601,32,Email,Female
"Great product, very satisfied!",2024-09-29 16:59:38.262603,19,In-Store,Male
Excellent quality and quick delivery!,2024-09-21 16:59:38.262605,21,In-Store,Other
"Fast shipping, product as described.",2024-09-23 16:59:38.262606,33,Email,Female
"Amazing experience, will buy again!",2024-10-04 16:59:38.262608,30,In-Store,Other
"Poor packaging, item arrived damaged.",2024-10-05 16:59:38.262609,42,Email,Male
"Fast shipping, product as described.",2024-10-01 16:59:38.262611,59,Email,Male
"Great product, very satisfied!",2024-10-07 16:59:38.262613,23,In-Store,Other
"Fast shipping, product as described.",2024-10-04 16:59:38.262614,47,Social Media,Other
"Great product, very satisfied!",2024-10-12 16:59:38.262616,68,Social Media,Male
"Amazing experience, will buy again!",2024-09-20 16:59:38.262617,70,Email,Female
"Amazing experience, will buy again!",2024-09-18 16:59:38.262619,47,Email,Other
"Fast shipping, product as described.",2024-10-11 16:59:38.262621,54,Mobile App,Female
"Fast shipping, product as described.",2024-10-01 16:59:38.262622,54,Social Media,Male
"The service was slow, not happy.",2024-10-01 16:59:38.262624,25,Website,Other
Customer service was helpful.,2024-09-30 16:59:38.262625,70,In-Store,Female
"Poor packaging, item arrived damaged.",2024-10-03 16:59:38.262627,62,Email,Male
"Great product, very satisfied!",2024-10-02 16:59:38.262629,31,Website,Other
"Terrible support, very disappointed.",2024-09-20 16:59:38.262630,46,Website,Female
"Poor packaging, item arrived damaged.",2024-09-20 16:59:38.262632,49,Website,Female
Love the new features!,2024-09-27 16:59:38.262633,27,In-Store,Female
Customer service was helpful.,2024-09-18 16:59:38.262635,62,Email,Male
"Amazing experience, will buy again!",2024-10-01 16:59:38.262637,25,Social Media,Male
"The service was slow, not happy.",2024-09-30 16:59:38.262638,37,Website,Other
"Terrible support, very disappointed.",2024-10-11 16:59:38.262640,20,Website,Female
Customer service was helpful.,2024-09-14 16:59:38.262642,45,Email,Female
"Poor packaging, item arrived damaged.",2024-09-13 16:59:38.262643,41,Website,Other
Not worth the money.,2024-10-02 16:59:38.262645,38,Website,Other
Customer service was helpful.,2024-09-25 16:59:38.262647,38,Email,Male
"Amazing experience, will buy again!",2024-09-29 16:59:38.262648,29,In-Store,Female
Love the new features!,2024-09-13 16:59:38.262650,40,In-Store,Other
"Poor packaging, item arrived damaged.",2024-09-14 16:59:38.262652,41,Social Media,Other
"Great product, very satisfied!",2024-10-11 16:59:38.262653,55,Mobile App,Other
Love the new features!,2024-09-13 16:59:38.262655,23,Website,Female
"The service was slow, not happy.",2024-10-09 16:59:38.262656,33,Social Media,Other
"Fast shipping, product as described.",2024-09-13 16:59:38.262658,68,Website,Other
Love the new features!,2024-09-23 16:59:38.262660,28,Mobile App,Other
"The service was slow, not happy.",2024-09-22 16:59:38.262661,49,In-Store,Other
Love the new features!,2024-09-21 16:59:38.262663,35,Mobile App,Female
"Poor packaging, item arrived damaged.",2024-10-06 16:59:38.262664,24,Website,Female
"Terrible support, very disappointed.",2024-10-12 16:59:38.262666,47,Email,Other
Customer service was helpful.,2024-10-11 16:59:38.262668,53,Mobile App,Other
"Poor packaging, item arrived damaged.",2024-10-12 16:59:38.262670,30,Website,Female
"Fast shipping, product as described.",2024-09-21 16:59:38.262673,44,Email,Other
Not worth the money.,2024-10-02 16:59:38.262675,50,Mobile App,Female
"Amazing experience, will buy again!",2024-09-18 16:59:38.262678,32,In-Store,Female
"Amazing experience, will buy again!",2024-09-25 16:59:38.262681,26,Social Media,Other
"Poor packaging, item arrived damaged.",2024-09-20 16:59:38.262696,65,Website,Male
"The service was slow, not happy.",2024-10-06 16:59:38.262698,32,Mobile App,Female
Love the new features!,2024-09-23 16:59:38.262700,28,Email,Male
"The service was slow, not happy.",2024-09-28 16:59:38.262701,38,Mobile App,Female
"The service was slow, not happy.",2024-09-28 16:59:38.262703,19,Email,Male
"Poor packaging, item arrived damaged.",2024-09-17 16:59:38.262705,57,Mobile App,Male
"Fast shipping, product as described.",2024-09-24 16:59:38.262706,18,In-Store,Female
"The service was slow, not happy.",2024-10-11 16:59:38.262709,33,In-Store,Female
Not worth the money.,2024-09-16 16:59:38.262712,29,Social Media,Male
"The service was slow, not happy.",2024-09-28 16:59:38.262715,69,Email,Other
"Fast shipping, product as described.",2024-09-16 16:59:38.262718,34,Website,Other
"Fast shipping, product as described.",2024-09-19 16:59:38.262720,70,Website,Female
"Amazing experience, will buy again!",2024-09-20 16:59:38.262723,66,Social Media,Other
"The service was slow, not happy.",2024-10-07 16:59:38.262726,43,Social Media,Male
Not worth the money.,2024-10-07 16:59:38.262729,52,Email,Female
Excellent quality and quick delivery!,2024-10-06 16:59:38.262733,68,Email,Other
"Fast shipping, product as described.",2024-10-01 16:59:38.262735,34,In-Store,Male
"The service was slow, not happy.",2024-09-17 16:59:38.262736,37,Website,Other
"Great product, very satisfied!",2024-10-05 16:59:38.262738,19,In-Store,Female
Customer service was helpful.,2024-09-14 16:59:38.262739,50,In-Store,Male
Customer service was helpful.,2024-09-25 16:59:38.262741,44,Social Media,Male
"Great product, very satisfied!",2024-09-18 16:59:38.262743,31,Social Media,Other
"Great product, very satisfied!",2024-09-23 16:59:38.262744,67,Email,Male
Excellent quality and quick delivery!,2024-09-23 16:59:38.262746,53,Mobile App,Female
"Terrible support, very disappointed.",2024-10-09 16:59:38.262748,40,Email,Male
"Terrible support, very disappointed.",2024-09-26 16:59:38.262749,53,In-Store,Male
Love the new features!,2024-09-29 16:59:38.262751,31,Mobile App,Female
Customer service was helpful.,2024-09-29 16:59:38.262753,70,In-Store,Female
"Terrible support, very disappointed.",2024-10-03 16:59:38.262754,21,In-Store,Female
"Poor packaging, item arrived damaged.",2024-09-29 16:59:38.262756,64,Website,Female
"Fast shipping, product as described.",2024-09-29 16:59:38.262757,28,In-Store,Other
"Fast shipping, product as described.",2024-09-23 16:59:38.262761,39,Email,Female
"Terrible support, very disappointed.",2024-09-22 16:59:38.262763,39,Social Media,Male
"Poor packaging, item arrived damaged.",2024-09-24 16:59:38.262764,62,Mobile App,Other
"Terrible support, very disappointed.",2024-10-07 16:59:38.262766,48,Website,Female
Not worth the money.,2024-09-14 16:59:38.262768,35,In-Store,Male
Customer service was helpful.,2024-09-17 16:59:38.262769,29,Mobile App,Other
"Fast shipping, product as described.",2024-10-01 16:59:38.262771,53,Email,Other
Customer service was helpful.,2024-10-01 16:59:38.262773,18,Mobile App,Female
Love the new features!,2024-09-22 16:59:38.262775,57,Website,Female
"Terrible support, very disappointed.",2024-09-15 16:59:38.262778,31,In-Store,Female
Excellent quality and quick delivery!,2024-09-16 16:59:38.262781,24,Mobile App,Other
"Fast shipping, product as described.",2024-10-05 16:59:38.262784,56,Email,Other
"Poor packaging, item arrived damaged.",2024-09-30 16:59:38.262787,57,Social Media,Female
"Amazing experience, will buy again!",2024-09-20 16:59:38.262790,39,Email,Female
"Poor packaging, item arrived damaged.",2024-09-17 16:59:38.262793,48,Email,Male
Not worth the money.,2024-09-18 16:59:38.262796,33,Website,Female
Love the new features!,2024-09-29 16:59:38.262799,56,In-Store,Other
"Terrible support, very disappointed.",2024-09-29 16:59:38.262802,56,Mobile App,Other
"Fast shipping, product as described.",2024-09-13 16:59:38.262805,67,Website,Other
"Fast shipping, product as described.",2024-10-01 16:59:38.262809,42,In-Store,Female
"Fast shipping, product as described.",2024-10-09 16:59:38.262811,69,Social Media,Male
"Great product, very satisfied!",2024-09-25 16:59:38.262814,34,In-Store,Male
"Great product, very satisfied!",2024-10-06 16:59:38.262817,49,Mobile App,Male
"Terrible support, very disappointed.",2024-10-08 16:59:38.262820,50,Social Media,Male
Customer service was helpful.,2024-09-29 16:59:38.262823,43,Social Media,Female
"Fast shipping, product as described.",2024-09-19 16:59:38.262826,37,Website,Other
"Great product, very satisfied!",2024-09-15 16:59:38.262829,69,Mobile App,Other
"Terrible support, very disappointed.",2024-09-30 16:59:38.262833,23,Social Media,Other
"Great product, very satisfied!",2024-09-23 16:59:38.262834,38,In-Store,Male
"Amazing experience, will buy again!",2024-09-25 16:59:38.262836,49,Email,Female
"Great product, very satisfied!",2024-10-08 16:59:38.262838,41,Email,Female
"Fast shipping, product as described.",2024-09-25 16:59:38.262839,20,In-Store,Female
"Terrible support, very disappointed.",2024-10-02 16:59:38.262841,61,Mobile App,Female
"The service was slow, not happy.",2024-09-19 16:59:38.262842,40,In-Store,Male
"Poor packaging, item arrived damaged.",2024-09-30 16:59:38.262844,44,Email,Male
"Terrible support, very disappointed.",2024-10-05 16:59:38.262846,34,Email,Other
"Great product, very satisfied!",2024-09-17 16:59:38.262847,65,Email,Female
Excellent quality and quick delivery!,2024-10-10 16:59:38.262849,57,In-Store,Male
Not worth the money.,2024-10-07 16:59:38.262851,41,Mobile App,Male
Not worth the money.,2024-09-24 16:59:38.262852,40,Email,Other
"The service was slow, not happy.",2024-09-14 16:59:38.262854,30,In-Store,Other
"Poor packaging, item arrived damaged.",2024-09-28 16:59:38.262855,41,Social Media,Other
Customer service was helpful.,2024-09-15 16:59:38.262857,64,Email,Female
"Poor packaging, item arrived damaged.",2024-09-23 16:59:38.262859,50,In-Store,Other
"Terrible support, very disappointed.",2024-09-15 16:59:38.262860,40,Social Media,Female
Customer service was helpful.,2024-10-05 16:59:38.262862,45,Website,Other
Customer service was helpful.,2024-10-08 16:59:38.262863,54,Website,Female
Customer service was helpful.,2024-10-12 16:59:38.262865,48,Social Media,Other
Customer service was helpful.,2024-10-10 16:59:38.262867,68,Website,Other
Love the new features!,2024-10-11 16:59:38.262868,53,Social Media,Male
"Amazing experience, will buy again!",2024-09-16 16:59:38.262870,68,Social Media,Male
"Great product, very satisfied!",2024-10-05 16:59:38.262872,61,Email,Male
"Amazing experience, will buy again!",2024-09-21 16:59:38.262873,50,Email,Male
"Fast shipping, product as described.",2024-09-25 16:59:38.262875,59,Social Media,Female
"Great product, very satisfied!",2024-10-09 16:59:38.262877,43,Mobile App,Female
Love the new features!,2024-09-18 16:59:38.262880,30,Mobile App,Other
"Great product, very satisfied!",2024-10-07 16:59:38.262883,49,Website,Male
"Poor packaging, item arrived damaged.",2024-09-15 16:59:38.262886,23,In-Store,Other
"Poor packaging, item arrived damaged.",2024-10-03 16:59:38.262889,31,In-Store,Other
Love the new features!,2024-09-28 16:59:38.262892,53,Mobile App,Other
Not worth the money.,2024-10-07 16:59:38.262895,66,Social Media,Other
"The service was slow, not happy.",2024-10-06 16:59:38.262906,53,Website,Female
"Terrible support, very disappointed.",2024-09-18 16:59:38.262907,27,Email,Female
"Amazing experience, will buy again!",2024-09-24 16:59:38.262909,35,In-Store,Other
"Poor packaging, item arrived damaged.",2024-09-13 16:59:38.262919,67,In-Store,Female
"Terrible support, very disappointed.",2024-09-19 16:59:38.262924,54,Email,Female
Not worth the money.,2024-09-24 16:59:38.262926,32,Social Media,Female
"Terrible support, very disappointed.",2024-10-08 16:59:38.262928,44,Email,Female
"The service was slow, not happy.",2024-09-15 16:59:38.262929,22,In-Store,Female
Not worth the money.,2024-10-06 16:59:38.262932,19,Email,Male
"Fast shipping, product as described.",2024-10-08 16:59:38.262933,34,In-Store,Other
"Terrible support, very disappointed.",2024-10-10 16:59:38.262935,63,In-Store,Male
"The service was slow, not happy.",2024-09-16 16:59:38.262936,48,Email,Male
"Great product, very satisfied!",2024-09-18 16:59:38.262938,25,Website,Female
Love the new features!,2024-09-13 16:59:38.262940,19,Website,Female
"Great product, very satisfied!",2024-09-15 16:59:38.262941,42,In-Store,Male
"Amazing experience, will buy again!",2024-09-19 16:59:38.262943,58,Website,Female
Customer service was helpful.,2024-09-17 16:59:38.262945,36,Mobile App,Male
Love the new features!,2024-09-18 16:59:38.262946,60,Mobile App,Other
Customer service was helpful.,2024-09-20 16:59:38.262948,51,Email,Female
"Great product, very satisfied!",2024-10-11 16:59:38.262950,41,Social Media,Other
"Terrible support, very disappointed.",2024-09-20 16:59:38.262951,35,Mobile App,Male
Not worth the money.,2024-10-07 16:59:38.262953,69,Website,Other
Customer service was helpful.,2024-10-04 16:59:38.262956,64,Website,Female
"Poor packaging, item arrived damaged.",2024-09-24 16:59:38.262979,27,Mobile App,Male
Customer service was helpful.,2024-09-17 16:59:38.262983,60,Mobile App,Male
"Great product, very satisfied!",2024-10-04 16:59:38.262986,59,Social Media,Other
Not worth the money.,2024-09-22 16:59:38.262992,51,In-Store,Other
"Fast shipping, product as described.",2024-09-27 16:59:38.262994,50,In-Store,Female
Excellent quality and quick delivery!,2024-10-09 16:59:38.262995,33,Email,Female
"Fast shipping, product as described.",2024-10-07 16:59:38.262997,54,In-Store,Other
"Terrible support, very disappointed.",2024-10-04 16:59:38.262998,65,Email,Male
"Great product, very satisfied!",2024-09-24 16:59:38.263000,62,In-Store,Male
"Poor packaging, item arrived damaged.",2024-09-22 16:59:38.263002,63,Website,Male
Not worth the money.,2024-09-23 16:59:38.263003,70,In-Store,Male
"Fast shipping, product as described.",2024-10-10 16:59:38.263005,25,Mobile App,Female
"Terrible support, very disappointed.",2024-09-13 16:59:38.263006,34,Mobile App,Female
Not worth the money.,2024-09-17 16:59:38.263008,24,Website,Female
Not worth the money.,2024-09-18 16:59:38.263010,34,Social Media,Other
"Poor packaging, item arrived damaged.",2024-09-27 16:59:38.263011,29,Email,Female
"Poor packaging, item arrived damaged.",2024-09-13 16:59:38.263013,66,Social Media,Other
"Fast shipping, product as described.",2024-10-05 16:59:38.263015,45,Mobile App,Male
Customer service was helpful.,2024-09-24 16:59:38.263016,31,In-Store,Male
Not worth the money.,2024-09-25 16:59:38.263018,48,Website,Other
"Terrible support, very disappointed.",2024-09-24 16:59:38.263020,20,Mobile App,Other
"Fast shipping, product as described.",2024-10-04 16:59:38.263021,40,Email,Female
"The service was slow, not happy.",2024-09-22 16:59:38.263023,52,Website,Other
"Great product, very satisfied!",2024-09-26 16:59:38.263024,20,Social Media,Male
Love the new features!,2024-09-27 16:59:38.263026,42,Email,Other
"Fast shipping, product as described.",2024-09-13 16:59:38.263028,23,Mobile App,Female
"Fast shipping, product as described.",2024-09-14 16:59:38.263029,68,In-Store,Male
"Terrible support, very disappointed.",2024-09-14 16:59:38.263031,42,Email,Female
"Terrible support, very disappointed.",2024-10-06 16:59:38.263033,25,Mobile App,Female
"The service was slow, not happy.",2024-09-28 16:59:38.263034,30,In-Store,Female
"The service was slow, not happy.",2024-09-25 16:59:38.263036,54,Email,Female
"Great product, very satisfied!",2024-10-03 16:59:38.263037,23,In-Store,Female
"Great product, very satisfied!",2024-09-13 16:59:38.263039,35,Mobile App,Male
Love the new features!,2024-09-30 16:59:38.263041,19,Social Media,Female
"Poor packaging, item arrived damaged.",2024-09-27 16:59:38.263042,28,Email,Male
"Terrible support, very disappointed.",2024-09-25 16:59:38.263044,49,Website,Male
"Poor packaging, item arrived damaged.",2024-10-10 16:59:38.263046,29,Email,Female
Love the new features!,2024-10-01 16:59:38.263047,37,In-Store,Other
"Fast shipping, product as described.",2024-09-17 16:59:38.263049,40,Social Media,Other
"The service was slow, not happy.",2024-10-09 16:59:38.263050,52,Social Media,Male
"The service was slow, not happy.",2024-10-09 16:59:38.263053,23,Email,Male
Love the new features!,2024-09-25 16:59:38.263054,67,Mobile App,Male
"The service was slow, not happy.",2024-09-19 16:59:38.263056,43,Website,Male
"Terrible support, very disappointed.",2024-10-01 16:59:38.263059,23,Social Media,Female
"The service was slow, not happy.",2024-10-09 16:59:38.263062,44,Website,Other
"Terrible support, very disappointed.",2024-10-03 16:59:38.263065,62,Website,Male
Excellent quality and quick delivery!,2024-09-21 16:59:38.263067,57,In-Store,Other
"Fast shipping, product as described.",2024-09-26 16:59:38.263070,59,Website,Female
Excellent quality and quick delivery!,2024-10-12 16:59:38.263073,54,In-Store,Female
"The service was slow, not happy.",2024-09-23 16:59:38.263076,56,Mobile App,Other
"Amazing experience, will buy again!",2024-09-26 16:59:38.263079,40,In-Store,Male
Love the new features!,2024-09-22 16:59:38.263082,43,Email,Other
Not worth the money.,2024-09-21 16:59:38.263085,44,Email,Male
"Great product, very satisfied!",2024-09-23 16:59:38.263087,19,Social Media,Male
Excellent quality and quick delivery!,2024-09-15 16:59:38.263090,57,Email,Female
"The service was slow, not happy.",2024-09-29 16:59:38.263093,45,Email,Other
Excellent quality and quick delivery!,2024-10-11 16:59:38.263096,48,Email,Male
Not worth the money.,2024-09-27 16:59:38.263099,65,Social Media,Male
"Poor packaging, item arrived damaged.",2024-10-02 16:59:38.263102,31,Website,Female
Love the new features!,2024-09-24 16:59:38.263105,69,In-Store,Female
"Poor packaging, item arrived damaged.",2024-10-10 16:59:38.263108,42,Mobile App,Female
Customer service was helpful.,2024-10-04 16:59:38.263116,43,Email,Female
Love the new features!,2024-10-05 16:59:38.263117,58,Email,Male
Love the new features!,2024-10-04 16:59:38.263119,30,In-Store,Other
Not worth the money.,2024-09-13 16:59:38.263121,61,Social Media,Male
"The service was slow, not happy.",2024-09-28 16:59:38.263122,19,Website,Female
Love the new features!,2024-09-26 16:59:38.263128,69,Website,Female
Not worth the money.,2024-09-14 16:59:38.263129,65,Website,Other
Excellent quality and quick delivery!,2024-10-02 16:59:38.263131,44,In-Store,Male
"Terrible support, very disappointed.",2024-10-05 16:59:38.263133,70,Social Media,Female
"Poor packaging, item arrived damaged.",2024-09-23 16:59:38.263134,37,Social Media,Male
Not worth the money.,2024-09-17 16:59:38.263136,22,Social Media,Female
"Amazing experience, will buy again!",2024-09-15 16:59:38.263137,61,Social Media,Other
"The service was slow, not happy.",2024-10-04 16:59:38.263139,31,Email,Female
Excellent quality and quick delivery!,2024-09-27 16:59:38.263141,21,Email,Other
Excellent quality and quick delivery!,2024-10-10 16:59:38.263142,46,In-Store,Female
"Amazing experience, will buy again!",2024-10-04 16:59:38.263144,36,Email,Female
"The service was slow, not happy.",2024-09-16 16:59:38.263145,65,Email,Male
"Poor packaging, item arrived damaged.",2024-09-15 16:59:38.263147,39,Website,Male
"Great product, very satisfied!",2024-09-23 16:59:38.263149,26,Website,Other
"Terrible support, very disappointed.",2024-09-27 16:59:38.263151,59,Social Media,Other
"The service was slow, not happy.",2024-09-21 16:59:38.263161,31,Website,Female
"The service was slow, not happy.",2024-09-18 16:59:38.263162,49,Mobile App,Male
Love the new features!,2024-10-10 16:59:38.263164,21,In-Store,Male
Love the new features!,2024-09-29 16:59:38.263165,20,Email,Other
"Fast shipping, product as described.",2024-09-13 16:59:38.263167,43,Email,Female
Not worth the money.,2024-09-29 16:59:38.263169,47,In-Store,Other
Not worth the money.,2024-10-03 16:59:38.263171,21,Email,Male
Customer service was helpful.,2024-09-19 16:59:38.263174,35,In-Store,Female
"The service was slow, not happy.",2024-10-01 16:59:38.263177,68,Email,Female
"Amazing experience, will buy again!",2024-09-19 16:59:38.263180,62,Website,Other
"Poor packaging, item arrived damaged.",2024-10-12 16:59:38.263183,27,Social Media,Female
"Great product, very satisfied!",2024-09-21 16:59:38.263186,32,Website,Male
"Poor packaging, item arrived damaged.",2024-10-03 16:59:38.263189,54,Email,Other
Customer service was helpful.,2024-09-18 16:59:38.263192,62,Social Media,Female
Excellent quality and quick delivery!,2024-10-12 16:59:38.263194,46,In-Store,Male
"Fast shipping, product as described.",2024-09-18 16:59:38.263197,39,In-Store,Female
Excellent quality and quick delivery!,2024-09-20 16:59:38.263200,58,In-Store,Female
"Fast shipping, product as described.",2024-09-26 16:59:38.263204,32,Website,Female
"The service was slow, not happy.",2024-10-08 16:59:38.263207,52,Social Media,Female
"Amazing experience, will buy again!",2024-09-29 16:59:38.263210,39,In-Store,Other
"Fast shipping, product as described.",2024-10-07 16:59:38.263212,29,Social Media,Male
Not worth the money.,2024-09-19 16:59:38.263214,24,Mobile App,Male
"Great product, very satisfied!",2024-09-16 16:59:38.263215,35,Social Media,Other
"Amazing experience, will buy again!",2024-10-08 16:59:38.263217,49,Social Media,Other
Not worth the money.,2024-09-30 16:59:38.263219,55,Social Media,Female
Customer service was helpful.,2024-09-15 16:59:38.263221,64,Social Media,Female
"Amazing experience, will buy again!",2024-09-28 16:59:38.263224,18,Email,Other
Excellent quality and quick delivery!,2024-09-20 16:59:38.263227,64,Website,Male
Not worth the money.,2024-09-28 16:59:38.263230,42,Email,Female
"Amazing experience, will buy again!",2024-09-28 16:59:38.263232,61,Social Media,Male
Excellent quality and quick delivery!,2024-09-14 16:59:38.263235,44,Mobile App,Other
Not worth the money.,2024-09-19 16:59:38.263238,60,Website,Female
"Amazing experience, will buy again!",2024-10-07 16:59:38.263241,55,Email,Male
"Great product, very satisfied!",2024-09-14 16:59:38.263244,61,Mobile App,Female
"Great product, very satisfied!",2024-10-05 16:59:38.263246,55,Email,Male
Not worth the money.,2024-09-20 16:59:38.263250,23,In-Store,Male
Love the new features!,2024-10-10 16:59:38.263253,34,Mobile App,Female
"The service was slow, not happy.",2024-09-14 16:59:38.263257,22,Mobile App,Male
"Fast shipping, product as described.",2024-10-02 16:59:38.263258,24,Social Media,Other
"Great product, very satisfied!",2024-10-11 16:59:38.263260,28,Email,Male
"Great product, very satisfied!",2024-10-03 16:59:38.263262,70,In-Store,Female
Excellent quality and quick delivery!,2024-09-22 16:59:38.263263,38,Mobile App,Female
"Poor packaging, item arrived damaged.",2024-10-12 16:59:38.263265,29,Website,Male
Love the new features!,2024-09-18 16:59:38.263266,44,Email,Male
"Poor packaging, item arrived damaged.",2024-09-20 16:59:38.263268,29,In-Store,Male
"Fast shipping, product as described.",2024-09-21 16:59:38.263270,70,Email,Male
Not worth the money.,2024-10-10 16:59:38.263271,21,Mobile App,Female
